Time,Station,Type,Login_Mode,Operator,Tact_Time(Sec),LotNum,Barcode,VCMID,SensorID,FPCBID,SIte_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Pass_Count,Fail_Count,Total,Result,CODE,Para,ERROR,Site_1_Result_code,Site_2_Result_code,Site_3_Result_code,Site_4_Result_code,Site_5_Result_code,Site_6_Result_code,Site_7_Result_code,Site_8_Result_code,Site_9_Result_code,Site_1_Result_name,Site_2_Result_name,Site_3_Result_name,Site_4_Result_name,Site_5_Result_name,Site_6_Result_name,Site_7_Result_name,Site_8_Result_name,Site_9_Result_name,SWversion_site1,SWversion_site2,SWversion_site3,SWversion_site4,SWversion_site5,SWversion_site6,SWversion_site7,SWversion_site8,SWversion_site9,SWversion_Matching,Site_1_ReInsp,Site_2_ReInsp,Site_3_ReInsp,Site_4_ReInsp,Site_5_ReInsp,Site_6_ReInsp,Site_7_ReInsp,Site_8_ReInsp,Site_9_ReInsp,Insp_Mode,Site_1_LastCode,Site_2_LastCode,Site_3_LastCode,Site_4_LastCode,Site_5_LastCode,Site_6_LastCode,Site_7_LastCode,Site_8_LastCode,Site_9_LastCode,Site_1_LastTime,Site_2_LastTime,Site_3_LastTime,Site_4_LastTime,Site_5_LastTime,Site_6_LastTime,Site_7_LastTime,Site_8_LastTime,Site_9_LastTime,A_LIGHT_AE_TIME,A_REFERENCE,D_LIGHT_AE_TIME,D_REFERENCE,A_COLOR_RG,A_COLOR_RG_REF,A_COLOR_BG,A_COLOR_BG_REF,D_COLOR_RG,D_COLOR_RG_REF,D_COLOR_BG,D_COLOR_BG_REF,GAIN_B1,GAIN_B1_REF,GAIN_B2,GAIN_B2_REF,GAIN_H1,GAIN_H1_REF,GAIN_H2,GAIN_H2_REF,EM_H1_6,EM_H1_6_REF,EM_H1_7,EM_H1_7_REF,EM_H1_8,EM_H1_8_REF,EM_H1_9,EM_H1_9_REF,EM_H1_10,EM_H1_10_REF,EM_H2_2,EM_H2_2_REF,EM_H2_3,EM_H2_3_REF,EM_H2_4,EM_H2_4_REF,EM_H2_5,EM_H2_5_REF,EM_H2_11,EM_H2_11_REF,EM_H2_12,EM_H2_12_REF,SOCKET_UP,SOCKET_DOWN,SOCKET_OPEN,SOCKET_CLOSE,SW_VERSION,PBS_VERSION
'2021-06-13 02:39:09.883,KCMCT5241H,R04A,OP,±è¿ø´ö,22.84,GGY733AM6B01,DN81246F6QDH1HW1S,MB211332A17N21A1A534006010,0ace29101114,THA12130DG906MWA8,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,1,FAIL,32,1,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,0,0.000,0.817,0.000,0.276,0.000,0.000,0.000,0.000,0.000,9.919,0.000,10.073,0.000,8.780,0.000,8.972,0.000,0.947,0.000,0.948,0.000,0.948,0.000,0.946,0.000,0.000,0.000,0.945,0.000,0.947,0.000,0.943,0.000,0.943,0.000,0.000,0.000,0.000,0.765,0.453,1.186,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 02:39:33.676,KCMCT5241H,R04A,OP,±è¿ø´ö,23.54,GGY733AM6B01,DN81246F6QBH1HW1U,AZ3B147115D2B1A19433034114,0ace02080107,THA12130FGU06MWAM,0.00,21.36,21.61,0.00,18.11,21.20,20.48,20.16,19.38,1,1,2,PASS,1,7,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.817,0.812,0.276,0.276,0.480,0.480,0.519,0.519,9.452,9.452,9.651,9.651,8.688,8.728,8.769,8.769,0.946,0.948,0.949,0.949,0.950,0.950,0.947,0.947,0.000,0.000,0.947,0.947,0.950,0.950,0.944,0.944,0.947,0.947,0.000,0.000,0.000,0.000,0.764,0.624,1.186,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 02:39:56.376,KCMCT5241H,R04A,OP,±è¿ø´ö,22.75,GGY733AM6B01,DN81246F6Q9H1HW1W,AZ3B1511E04NB3A19629104020,0ace02080412,THA121300N806MWA4,0.00,21.40,20.97,0.00,17.93,21.12,20.81,20.14,17.74,1,2,3,FAIL,172,5,LCB,-1,1,1,-1,1,1,1,1,172,-,PASS,PASS,-,PASS,PASS,PASS,PASS,LCB,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.807,0.812,0.276,0.276,0.471,0.475,0.527,0.523,10.385,9.452,10.495,9.651,8.871,8.728,9.175,8.769,0.948,0.948,0.947,0.949,0.946,0.950,0.945,0.947,0.000,0.000,0.942,0.947,0.944,0.950,0.942,0.944,0.940,0.947,0.000,0.000,0.000,0.000,0.764,0.687,1.186,0.826,1.4.1.54,PBS_20.200424
'2021-06-13 02:40:18.917,KCMCT5241H,R04A,OP,±è¿ø´ö,22.79,GGY733AM6B01,DN81246F6R0H1HW12,MB211312B6UY24A1B438036003,0ace29100800,THA121300NC06MWA0,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,3,4,FAIL,32,3,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.812,0.000,0.276,0.000,0.475,0.000,0.523,0.000,9.452,0.000,9.651,0.000,8.728,0.000,8.769,0.000,0.948,0.000,0.949,0.000,0.950,0.000,0.947,0.000,0.000,0.000,0.947,0.000,0.950,0.000,0.944,0.000,0.947,0.000,0.000,0.000,0.000,0.780,0.655,1.123,0.796,1.4.1.54,PBS_20.200424
'2021-06-13 02:40:41.771,KCMCT5241H,R04A,OP,±è¿ø´ö,22.79,GGY733AM6B01,DN81246F6QZH1HW16,MB211332A18021A1B339118013,0ace29100756,THA12130HQY06MWAR,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,5,FAIL,32,2,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.812,0.000,0.276,0.000,0.475,0.000,0.523,0.000,9.140,0.000,9.223,0.000,8.799,0.000,8.972,0.000,0.948,0.000,0.951,0.000,0.953,0.000,0.949,0.000,0.000,0.000,0.948,0.000,0.952,0.000,0.947,0.000,0.948,0.000,0.000,0.000,0.000,0.765,0.624,1.232,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 02:41:06.415,KCMCT5241H,R04A,OP,±è¿ø´ö,23.63,GGY733AM6B01,DN81246F6Q8H1HW1X,MB211332A1B921A1B135108015,0ace29110964,THA121300PG06MWAT,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5,6,FAIL,32,8,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.814,0.000,0.275,0.000,0.475,0.000,0.523,0.000,8.827,0.000,8.936,0.000,8.728,0.000,8.972,0.000,0.948,0.000,0.952,0.000,0.954,0.000,0.951,0.000,0.000,0.000,0.949,0.000,0.954,0.000,0.945,0.000,0.949,0.000,0.000,0.000,0.000,0.764,0.671,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 02:41:28.327,KCMCT5241H,R04A,OP,±è¿ø´ö,22.98,GGY733AM6B01,DN81246F6Q6H1HW1Z,AZ3B147136A5B1A19332010013,0ace02080518,THA12130F1906MWAH,0.00,21.47,22.14,0.00,19.17,21.17,20.37,20.09,17.97,1,6,7,FAIL,172,6,LCB,-1,1,1,-1,1,1,1,1,172,-,PASS,PASS,-,PASS,PASS,PASS,PASS,LCB,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.818,0.814,0.274,0.275,0.480,0.477,0.518,0.521,8.654,8.827,8.778,8.936,8.728,8.728,8.273,8.972,0.949,0.948,0.952,0.952,0.955,0.954,0.951,0.951,0.000,0.000,0.950,0.949,0.955,0.954,0.952,0.945,0.949,0.949,0.000,0.000,0.000,0.000,0.765,0.655,1.123,0.967,1.4.1.54,PBS_20.200424
'2021-06-13 02:41:51.161,KCMCT5241H,R04A,OP,±è¿ø´ö,22.87,GGY733AM6B01,DN81246F6Q4H1HW11,MB211332A1AC21A1A839009006,0ace29110544,THA121300PT06MWAG,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7,8,FAIL,32,4,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.814,0.000,0.275,0.000,0.477,0.000,0.521,0.000,8.827,0.000,8.936,0.000,8.728,0.000,8.972,0.000,0.948,0.000,0.952,0.000,0.954,0.000,0.951,0.000,0.000,0.000,0.949,0.000,0.954,0.000,0.945,0.000,0.949,0.000,0.000,0.000,0.000,0.780,0.718,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 02:42:14.309,KCMCT5241H,R04A,OP,±è¿ø´ö,23.01,GGY733AM6B01,DN81246F6Q3H1HW12,MB211312B6VC24A1B443034108,0ace29101007,THA121300NQ06MWAN,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8,9,FAIL,32,1,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.815,0.000,0.276,0.000,0.477,0.000,0.521,0.000,8.816,0.000,8.866,0.000,8.708,0.000,9.073,0.000,0.949,0.000,0.952,0.000,0.952,0.000,0.952,0.000,0.000,0.000,0.949,0.000,0.954,0.000,0.948,0.000,0.950,0.000,0.000,0.000,0.000,0.764,0.452,1.186,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 02:42:38.332,KCMCT5241H,R04A,OP,±è¿ø´ö,23.73,GGY733AM6B01,DN81246F6Q1H1HW14,AZ3B147125EBB1A19536015005,0ace02080210,THA121300PY06MWAB,0.00,21.42,21.20,0.00,17.55,21.15,20.14,20.42,20.72,2,8,10,PASS,1,7,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.818,0.815,0.277,0.275,0.481,0.478,0.521,0.521,8.827,8.827,8.795,8.936,8.967,8.688,9.853,9.175,0.948,0.948,0.956,0.952,0.955,0.954,0.956,0.951,0.000,0.000,0.954,0.950,0.954,0.954,0.951,0.945,0.951,0.949,0.000,0.000,0.000,0.000,0.764,0.640,1.186,0.858,1.4.1.54,PBS_20.200424
