SUMMARY_LOG,LOWER_LIMIT,UPPER_LIMIT,SPOT_METRIC_LIV_LOG,DISTANCE_LIV_TEMPERATURE,MIN_ABNORMAL_RANGE,MAX_ABNORMAL_RANGE,INCLUDE_OK2SEND
serial_number,None,None,barcode,Rx,None,None,TRUE
config_code,None,None,lotNum,Rx,None,None,TRUE
test_date_time,None,None,Time,Rx,None,None,TRUE
Rx_station,None,None,station,Rx,None,None,TRUE
Rx_para,None,None,para,Rx,None,None,TRUE
ERS_version,,,ERS_version,Rx,None,None,TRUE
VSR_version,,,VSR_version,Rx,None,None,TRUE
test_version,,,SWversion,Rx,None,None,TRUE
EOLR_sifter_version,,,EOLR_sifter_versionno,Rx,None,None,TRUE
tester1_jig,,,tester1_jig,Rx,None,None,TRUE
tester2_jig,,,tester2_jig,Rx,None,None,TRUE
tester1_ip,,,tester1_ip,Rx,None,None,TRUE
tester2_ip,,,tester2_ip,Rx,None,None,TRUE
Wafer_id,,,Wafer_id,Rx,None,None,TRUE
Wafer_Lot,,,Wafer_Lot,Rx,None,None,TRUE
Sensor_Location_X,,,Sensor_Location_X,Rx,None,None,TRUE
Sensor_Location_Y,,,Sensor_Location_Y,Rx,None,None,TRUE
Sensor_id,,,sensorID,Rx,None,None,TRUE
Lens_barcode,,,LensID,AA,None,None,TRUE
Lens_Lot,,,Lens_Lot,Rx,None,None,TRUE
Lens_cavity,,,Lens_cavity,Rx,None,None,TRUE
Flex_barcode,,,flexID,Rx,None,None,TRUE
Module_lot,,,lotNum,Rx,None,None,TRUE
AA_machine_rx,,,Station,AA,None,None,TRUE
AA_head_rx,,,site,AA,None,None,TRUE
AA_timestamp_rx,,,Time,AA,None,None,TRUE
Z_offset_rx,,,Offset_Z,AA,None,None,TRUE
EOLR_BB_PD_1,,,EOLR_BB_PD_1,Rx,None,None,TRUE
EOLR_BB_PD_2,,,EOLR_BB_PD_2,Rx,None,None,TRUE
EOLR_BB_PD_3,,,EOLR_BB_PD_3,Rx,None,None,TRUE
EOLR_BB_PD_4,,,EOLR_BB_PD_4,Rx,None,None,TRUE
EOLR_BB_PD_5,,,EOLR_BB_PD_5,Rx,None,None,TRUE
EOLR_NB_PD_1,,,EOLR_NB_PD_1,Rx,None,None,TRUE
EOLR_NB_PD_2,,,EOLR_NB_PD_2,Rx,None,None,TRUE
EOLR_NB_PD_3,,,EOLR_NB_PD_3,Rx,None,None,TRUE
EOLR_NB_PD_4,,,EOLR_NB_PD_4,Rx,None,None,TRUE
EOLR_NB_PD_5,,,EOLR_NB_PD_5,Rx,None,None,TRUE
EOLR_light_AE_NB,788,849,EOLR_light_AE_NB,Rx,None,None,TRUE
EOLR_light_Int_NB,3000,7700,EOLR_light_Int_NB,Rx,None,None,TRUE
EOLR_light_AE_BB,788,849,EOLR_light_AE_BB,Rx,None,None,TRUE
