moduleconfig,site,offset_z,count,cm20,cm60,cm2060
C4004,Para#1,0.004,29,0.0,0.0,100.0
C4004,Para#1,0.008,30,56.666666666666664,0.0,43.333333333333336
C4004,Para#1,0.012,30,53.333333333333336,0.0,6.666666666666667
C4004,Para#1,0.016,30,0.0,0.0,0.0
C4004,Para#1,0.02,30,0.0,0.0,0.0
C4004,Para#1,0.024,30,0.0,6.666666666666667,0.0
C4004,Para#1,0.028,30,0.0,36.666666666666664,0.0
C4004,Para#1,0.032,28,0.0,89.28571428571429,0.0
C4004,Para#1,0.036,30,0.0,96.66666666666667,3.3333333333333335
C4004,Para#2,0.004,10,0.0,0.0,100.0
C4004,Para#2,0.008,9,33.33333333333333,0.0,66.66666666666666
C4004,Para#2,0.012,10,90.0,0.0,10.0
C4004,Para#2,0.016,10,0.0,0.0,0.0
C4004,Para#2,0.02,10,0.0,10.0,0.0
C4004,Para#2,0.024,10,0.0,0.0,10.0
C4004,Para#2,0.028,10,0.0,30.0,0.0
C4004,Para#2,0.032,9,0.0,77.77777777777779,0.0
C4004,Para#2,0.036,10,0.0,100.0,0.0
C4004,Para#3,0.004,10,0.0,0.0,100.0
C4004,Para#3,0.008,10,50.0,0.0,50.0
C4004,Para#3,0.012,10,30.0,10.0,0.0
C4004,Para#3,0.016,10,0.0,0.0,0.0
C4004,Para#3,0.02,10,0.0,0.0,0.0
C4004,Para#3,0.024,10,0.0,0.0,0.0
C4004,Para#3,0.028,10,0.0,70.0,0.0
C4004,Para#3,0.032,10,0.0,100.0,0.0
C4004,Para#3,0.036,9,0.0,100.0,0.0
C4004,Para#4,0.004,10,0.0,0.0,100.0
C4004,Para#4,0.008,9,88.88888888888889,0.0,11.11111111111111
C4004,Para#4,0.012,9,11.11111111111111,0.0,0.0
C4004,Para#4,0.016,10,0.0,0.0,0.0
C4004,Para#4,0.02,10,0.0,0.0,0.0
C4004,Para#4,0.024,10,0.0,0.0,0.0
C4004,Para#4,0.028,10,0.0,10.0,0.0
C4004,Para#4,0.032,10,0.0,90.0,0.0
C4004,Para#4,0.036,10,0.0,100.0,0.0
C4010,Para#1,0.004,6,0.0,0.0,100.0
C4010,Para#1,0.006,6,0.0,0.0,100.0
C4010,Para#1,0.008,6,16.666666666666664,0.0,83.33333333333334
C4010,Para#1,0.01,6,50.0,16.666666666666664,33.33333333333333
C4010,Para#1,0.012,6,16.666666666666664,0.0,0.0
C4010,Para#1,0.014,6,0.0,16.666666666666664,16.666666666666664
C4010,Para#1,0.016,6,0.0,0.0,0.0
C4010,Para#1,0.018,6,0.0,0.0,0.0
C4010,Para#1,0.02,6,0.0,0.0,0.0
C4010,Para#1,0.022,6,0.0,0.0,0.0
C4010,Para#1,0.024,6,0.0,0.0,0.0
C4010,Para#1,0.026,6,16.666666666666664,0.0,0.0
C4010,Para#1,0.028,6,0.0,16.666666666666664,0.0
C4010,Para#1,0.03,6,0.0,66.66666666666666,0.0
C4010,Para#1,0.032,6,0.0,100.0,0.0
C4010,Para#2,0.004,6,0.0,0.0,100.0
C4010,Para#2,0.006,6,0.0,0.0,100.0
C4010,Para#2,0.008,6,33.33333333333333,0.0,66.66666666666666
C4010,Para#2,0.01,6,83.33333333333334,0.0,16.666666666666664
C4010,Para#2,0.012,6,83.33333333333334,0.0,0.0
C4010,Para#2,0.014,6,0.0,0.0,0.0
C4010,Para#2,0.016,6,16.666666666666664,0.0,0.0
C4010,Para#2,0.018,6,16.666666666666664,0.0,0.0
C4010,Para#2,0.02,6,0.0,0.0,0.0
C4010,Para#2,0.022,6,0.0,0.0,0.0
C4010,Para#2,0.024,6,0.0,0.0,0.0
C4010,Para#2,0.026,6,0.0,0.0,0.0
C4010,Para#2,0.028,6,0.0,16.666666666666664,0.0
C4010,Para#2,0.03,6,0.0,33.33333333333333,16.666666666666664
C4010,Para#2,0.032,6,0.0,83.33333333333334,0.0
C4010,Para#3,0.004,6,0.0,0.0,100.0
C4010,Para#3,0.006,6,0.0,0.0,100.0
C4010,Para#3,0.008,6,16.666666666666664,0.0,83.33333333333334
C4010,Para#3,0.01,6,50.0,0.0,50.0
C4010,Para#3,0.012,6,66.66666666666666,0.0,33.33333333333333
C4010,Para#3,0.014,6,66.66666666666666,0.0,0.0
C4010,Para#3,0.016,6,0.0,0.0,0.0
C4010,Para#3,0.018,6,0.0,0.0,16.666666666666664
C4010,Para#3,0.02,6,0.0,0.0,0.0
C4010,Para#3,0.022,6,0.0,0.0,0.0
C4010,Para#3,0.024,6,0.0,0.0,0.0
C4010,Para#3,0.026,6,0.0,0.0,0.0
C4010,Para#3,0.028,6,0.0,0.0,0.0
C4010,Para#3,0.03,5,0.0,20.0,0.0
C4010,Para#3,0.032,6,0.0,50.0,0.0
C4010,Para#4,0.004,6,0.0,0.0,100.0
C4010,Para#4,0.006,6,0.0,0.0,100.0
C4010,Para#4,0.008,6,66.66666666666666,0.0,33.33333333333333
C4010,Para#4,0.01,6,83.33333333333334,0.0,16.666666666666664
C4010,Para#4,0.012,6,50.0,0.0,0.0
C4010,Para#4,0.014,6,33.33333333333333,0.0,0.0
C4010,Para#4,0.016,6,0.0,0.0,0.0
C4010,Para#4,0.018,6,0.0,0.0,0.0
C4010,Para#4,0.02,6,0.0,0.0,16.666666666666664
C4010,Para#4,0.022,6,0.0,0.0,0.0
C4010,Para#4,0.024,6,0.0,0.0,0.0
C4010,Para#4,0.026,6,0.0,16.666666666666664,0.0
C4010,Para#4,0.028,6,0.0,16.666666666666664,0.0
C4010,Para#4,0.03,6,0.0,50.0,0.0
C4010,Para#4,0.032,6,0.0,66.66666666666666,0.0
C4011,Para#2,0.004,6,66.66666666666666,0.0,0.0
C4011,Para#2,0.006,6,33.33333333333333,0.0,0.0
C4011,Para#2,0.008,6,16.666666666666664,0.0,0.0
C4011,Para#2,0.01,6,0.0,0.0,0.0
C4011,Para#2,0.012,6,0.0,0.0,0.0
C4011,Para#2,0.014,6,0.0,0.0,0.0
C4011,Para#2,0.016,6,0.0,0.0,0.0
C4011,Para#2,0.018,6,0.0,0.0,0.0
C4011,Para#2,0.02,6,0.0,50.0,0.0
C4011,Para#2,0.022,6,0.0,100.0,0.0
C4011,Para#2,0.024,6,0.0,83.33333333333334,0.0
C4011,Para#2,0.026,6,0.0,100.0,0.0
C4011,Para#2,0.028,6,0.0,100.0,0.0
C4011,Para#2,0.03,6,0.0,100.0,0.0
C4011,Para#2,0.032,6,0.0,100.0,0.0
C4011,Para#3,0.004,6,100.0,0.0,0.0
C4011,Para#3,0.006,6,100.0,0.0,0.0
C4011,Para#3,0.008,6,66.66666666666666,0.0,0.0
C4011,Para#3,0.01,6,16.666666666666664,0.0,16.666666666666664
C4011,Para#3,0.012,6,0.0,0.0,0.0
C4011,Para#3,0.014,6,0.0,0.0,0.0
C4011,Para#3,0.016,6,0.0,0.0,0.0
C4011,Para#3,0.018,6,0.0,0.0,0.0
C4011,Para#3,0.02,6,0.0,0.0,0.0
C4011,Para#3,0.022,6,0.0,33.33333333333333,0.0
C4011,Para#3,0.024,6,0.0,33.33333333333333,0.0
C4011,Para#3,0.026,5,0.0,100.0,0.0
C4011,Para#3,0.028,6,0.0,100.0,0.0
C4011,Para#3,0.03,6,0.0,100.0,0.0
C4011,Para#3,0.032,6,0.0,100.0,0.0
C4011,Para#4,0.004,6,100.0,0.0,0.0
C4011,Para#4,0.006,6,100.0,0.0,0.0
C4011,Para#4,0.008,6,83.33333333333334,0.0,16.666666666666664
C4011,Para#4,0.01,6,33.33333333333333,0.0,0.0
C4011,Para#4,0.012,6,0.0,0.0,0.0
C4011,Para#4,0.014,6,0.0,0.0,0.0
