moduleconfig,site,offset_z,count,cm20,cm60,cm2060
C4004,Para#1,0.004,100.0,0.0,0.0,100.0
C4004,Para#1,0.008,100.0,56.666666666666664,0.0,43.333333333333336
C4004,Para#1,0.012,100.0,53.333333333333336,0.0,6.666666666666667
C4004,Para#1,0.016,100.0,0.0,0.0,0.0
C4004,Para#1,0.02,100.0,0.0,0.0,0.0
C4004,Para#1,0.024,100.0,0.0,6.666666666666667,0.0
C4004,Para#1,0.028,100.0,0.0,36.666666666666664,0.0
C4004,Para#1,0.032,100.0,0.0,89.28571428571429,0.0
C4004,Para#1,0.036,100.0,0.0,96.66666666666667,3.3333333333333335
C4004,Para#2,0.004,100.0,0.0,0.0,100.0
C4004,Para#2,0.008,100.0,33.33333333333333,0.0,66.66666666666666
C4004,Para#2,0.012,100.0,90.0,0.0,10.0
C4004,Para#2,0.016,100.0,0.0,0.0,0.0
C4004,Para#2,0.02,100.0,0.0,10.0,0.0
C4004,Para#2,0.024,100.0,0.0,0.0,10.0
C4004,Para#2,0.028,100.0,0.0,30.0,0.0
C4004,Para#2,0.032,100.0,0.0,77.77777777777779,0.0
C4004,Para#2,0.036,100.0,0.0,100.0,0.0
C4004,Para#3,0.004,100.0,0.0,0.0,100.0
C4004,Para#3,0.008,100.0,50.0,0.0,50.0
C4004,Para#3,0.012,100.0,30.0,10.0,0.0
C4004,Para#3,0.016,100.0,0.0,0.0,0.0
C4004,Para#3,0.02,100.0,0.0,0.0,0.0
C4004,Para#3,0.024,100.0,0.0,0.0,0.0
C4004,Para#3,0.028,100.0,0.0,70.0,0.0
C4004,Para#3,0.032,100.0,0.0,100.0,0.0
C4004,Para#3,0.036,100.0,0.0,100.0,0.0
C4004,Para#4,0.004,100.0,0.0,0.0,100.0
C4004,Para#4,0.008,100.0,88.88888888888889,0.0,11.11111111111111
C4004,Para#4,0.012,100.0,11.11111111111111,0.0,0.0
C4004,Para#4,0.016,100.0,0.0,0.0,0.0
C4004,Para#4,0.02,100.0,0.0,0.0,0.0
C4004,Para#4,0.024,100.0,0.0,0.0,0.0
C4004,Para#4,0.028,100.0,0.0,10.0,0.0
C4004,Para#4,0.032,100.0,0.0,90.0,0.0
C4004,Para#4,0.036,100.0,0.0,100.0,0.0
C4010,Para#1,0.004,100.0,0.0,0.0,100.0
C4010,Para#1,0.006,100.0,0.0,0.0,100.0
C4010,Para#1,0.008,100.0,16.666666666666664,0.0,83.33333333333334
C4010,Para#1,0.01,100.0,66.66666666666666,16.666666666666664,16.666666666666664
C4010,Para#1,0.012,100.0,16.666666666666664,0.0,0.0
C4010,Para#1,0.014,100.0,0.0,16.666666666666664,16.666666666666664
C4010,Para#1,0.016,100.0,0.0,0.0,0.0
C4010,Para#1,0.018,100.0,0.0,0.0,0.0
C4010,Para#1,0.02,100.0,0.0,0.0,0.0
C4010,Para#1,0.022,100.0,0.0,0.0,0.0
C4010,Para#1,0.024,100.0,0.0,0.0,0.0
C4010,Para#1,0.026,100.0,16.666666666666664,0.0,0.0
C4010,Para#1,0.028,100.0,0.0,16.666666666666664,0.0
C4010,Para#1,0.03,100.0,0.0,66.66666666666666,0.0
C4010,Para#1,0.032,100.0,0.0,100.0,0.0
C4010,Para#2,0.004,100.0,0.0,0.0,100.0
C4010,Para#2,0.006,100.0,0.0,0.0,100.0
C4010,Para#2,0.008,100.0,33.33333333333333,0.0,66.66666666666666
C4010,Para#2,0.01,100.0,60.0,0.0,40.0
C4010,Para#2,0.012,100.0,83.33333333333334,0.0,0.0
C4010,Para#2,0.014,100.0,0.0,0.0,0.0
C4010,Para#2,0.016,100.0,16.666666666666664,0.0,16.666666666666664
C4010,Para#2,0.018,100.0,16.666666666666664,0.0,0.0
C4010,Para#2,0.02,100.0,0.0,0.0,0.0
C4010,Para#2,0.022,100.0,0.0,0.0,0.0
C4010,Para#2,0.024,100.0,16.666666666666664,0.0,0.0
C4010,Para#2,0.026,100.0,0.0,0.0,0.0
C4010,Para#2,0.028,100.0,0.0,16.666666666666664,0.0
C4010,Para#2,0.03,100.0,0.0,33.33333333333333,16.666666666666664
C4010,Para#2,0.032,100.0,0.0,83.33333333333334,0.0
C4010,Para#3,0.004,100.0,0.0,0.0,100.0
C4010,Para#3,0.006,100.0,0.0,0.0,100.0
C4010,Para#3,0.008,100.0,16.666666666666664,0.0,83.33333333333334
C4010,Para#3,0.01,100.0,50.0,0.0,50.0
C4010,Para#3,0.012,100.0,66.66666666666666,0.0,33.33333333333333
C4010,Para#3,0.014,100.0,66.66666666666666,0.0,0.0
C4010,Para#3,0.016,100.0,0.0,0.0,0.0
C4010,Para#3,0.018,100.0,0.0,0.0,16.666666666666664
C4010,Para#3,0.02,100.0,0.0,0.0,0.0
C4010,Para#3,0.022,100.0,0.0,0.0,0.0
C4010,Para#3,0.024,100.0,0.0,0.0,0.0
C4010,Para#3,0.026,100.0,0.0,0.0,0.0
C4010,Para#3,0.028,100.0,0.0,0.0,0.0
C4010,Para#3,0.03,100.0,0.0,20.0,0.0
C4010,Para#3,0.032,100.0,0.0,50.0,0.0
C4010,Para#4,0.004,100.0,0.0,0.0,100.0
C4010,Para#4,0.006,100.0,0.0,0.0,100.0
C4010,Para#4,0.008,100.0,66.66666666666666,0.0,33.33333333333333
C4010,Para#4,0.01,100.0,83.33333333333334,0.0,16.666666666666664
C4010,Para#4,0.012,100.0,50.0,0.0,0.0
C4010,Para#4,0.014,100.0,33.33333333333333,0.0,0.0
C4010,Para#4,0.016,100.0,0.0,0.0,0.0
C4010,Para#4,0.018,100.0,0.0,0.0,0.0
C4010,Para#4,0.02,100.0,0.0,0.0,16.666666666666664
C4010,Para#4,0.022,100.0,0.0,0.0,0.0
C4010,Para#4,0.024,100.0,0.0,0.0,0.0
C4010,Para#4,0.026,100.0,0.0,0.0,28.57142857142857
C4010,Para#4,0.028,100.0,0.0,16.666666666666664,0.0
C4010,Para#4,0.03,100.0,0.0,33.33333333333333,16.666666666666664
C4010,Para#4,0.032,100.0,0.0,66.66666666666666,0.0
C4011,Para#2,0.004,100.0,66.66666666666666,0.0,0.0
C4011,Para#2,0.006,100.0,33.33333333333333,0.0,0.0
C4011,Para#2,0.008,100.0,16.666666666666664,0.0,0.0
C4011,Para#2,0.01,100.0,0.0,0.0,0.0
C4011,Para#2,0.012,100.0,0.0,0.0,0.0
C4011,Para#2,0.014,100.0,0.0,0.0,0.0
C4011,Para#2,0.016,100.0,0.0,0.0,0.0
C4011,Para#2,0.018,100.0,0.0,0.0,0.0
C4011,Para#2,0.02,100.0,0.0,50.0,0.0
C4011,Para#2,0.022,100.0,0.0,100.0,0.0
C4011,Para#2,0.024,100.0,0.0,83.33333333333334,0.0
C4011,Para#2,0.026,100.0,0.0,100.0,0.0
C4011,Para#2,0.028,100.0,0.0,100.0,0.0
C4011,Para#2,0.03,100.0,0.0,100.0,0.0
C4011,Para#2,0.032,100.0,0.0,100.0,0.0
C4011,Para#3,0.004,100.0,100.0,0.0,0.0
C4011,Para#3,0.006,100.0,100.0,0.0,0.0
C4011,Para#3,0.008,100.0,66.66666666666666,0.0,0.0
C4011,Para#3,0.01,100.0,16.666666666666664,0.0,16.666666666666664
C4011,Para#3,0.012,100.0,0.0,0.0,0.0
C4011,Para#3,0.014,100.0,0.0,0.0,0.0
C4011,Para#3,0.016,100.0,0.0,0.0,0.0
C4011,Para#3,0.018,100.0,0.0,0.0,0.0
C4011,Para#3,0.02,100.0,0.0,0.0,0.0
C4011,Para#3,0.022,100.0,0.0,33.33333333333333,0.0
C4011,Para#3,0.024,100.0,0.0,33.33333333333333,0.0
C4011,Para#3,0.026,100.0,0.0,100.0,0.0
C4011,Para#3,0.028,100.0,0.0,100.0,0.0
C4011,Para#3,0.03,100.0,0.0,100.0,0.0
C4011,Para#3,0.032,100.0,0.0,100.0,0.0
C4011,Para#4,0.004,100.0,100.0,0.0,0.0
C4011,Para#4,0.006,100.0,100.0,0.0,0.0
C4011,Para#4,0.008,100.0,83.33333333333334,0.0,16.666666666666664
C4011,Para#4,0.01,100.0,33.33333333333333,0.0,0.0
C4011,Para#4,0.012,100.0,0.0,0.0,0.0
C4011,Para#4,0.014,100.0,0.0,0.0,0.0
C4011,Para#4,0.016,100.0,0.0,0.0,0.0
C4011,Para#4,0.018,100.0,0.0,0.0,0.0
C4011,Para#4,0.02,100.0,0.0,0.0,0.0
C4011,Para#4,0.022,100.0,0.0,33.33333333333333,0.0
C4011,Para#4,0.024,100.0,0.0,66.66666666666666,0.0
C4011,Para#4,0.026,100.0,0.0,83.33333333333334,0.0
C4011,Para#4,0.028,100.0,0.0,100.0,0.0
C4011,Para#4,0.03,100.0,0.0,100.0,0.0
C4011,Para#4,0.032,100.0,0.0,100.0,0.0
