idx,district,longitude,latitude,label
0,Gangseo-gu,126.8495,37.551,Gangseo
1,Yangcheon-gu,126.855396,37.52424,Gangseo
2,Guro-gu,126.8874,37.4954,Gangseo
3,Geumcheon-gu,126.902,37.4519,Gangseo
4,Mapo-gu,126.908728,37.560229,Gangseo
5,Gwanak-gu,126.915065,37.487517,Gangnam
6,Dongjak-gu,126.9393,37.5124,Gangnam
7,Seocho-gu,127.0324,37.4837,Gangnam
8,Gangnam-gu,127.0473,37.5172,Gangnam
9,Songpa-gu,127.117898,37.50351,Gangnam
10,Yongsan-gu,127.008605,37.532561,Gangbuk
11,Jongro-gu,126.9794,37.573,Gangbuk
12,Seongbuk-gu,127.056344,37.603979,Gangbuk
13,Nowon-gu,127.0568,37.6542,Gangbuk
14,Dobong-gu,127.0471,37.6688,Gangbuk
15,Seongdong-gu,127.041667,37.55734,Gangdong
16,Dongdaemun-gu,127.025288,37.575759,Gangdong
17,Gwangjin-gu,127.083467,37.557562,Gangdong
18,Gangdong-gu,127.151405,37.554194,Gangdong
19,Jungrang-gu,127.090384,37.593684,Gangdong
