idx,dong,longitude,latitude,label
0,Gaebong-dong,126.854547,37.489853,Gangseo
1,Gochuk-dong,126.859245,37.501394,Gangseo
2,Hwagok-dong,126.847951,37.537759,Gangseo
3,Banghwa-dong,126.815719,37.575817,Gangseo
4,Sangam-dong,126.89162,37.577039,Gangseo
5,Nonhyun-dong,127.03072,37.508838,Gangnam
6,Daechi-dong,127.057193,37.501163,Gangnam
7,Seocho-dong,127.018281,37.486401,Gangnam
8,Bangbae-dong,126.988194,37.483279,Gangnam
9,Dogok-dong,127.043159,37.492896,Gangnam
10,Pyoungchang-dong,126.975724,37.612129,Gangbuk
11,Sungbuk-dong,126.998067,37.597916,Gangbuk
12,Ssangmoon-dong,127.030421,37.648094,Gangbuk
13,Ui-dong,127.011396,37.648446,Gangbuk
14,Samcheong-dong,126.980488,37.591109,Gangbuk
15,Hwayang-dong,127.071648,37.544234,Gangdong
16,Gui-dong,127.086803,37.543757,Gangdong
17,Neung-dong,127.080248,37.553102,Gangdong
18,Amsa-dong,127.127124,37.55237,Gangdong
19,Chunho-dong,127.137382,37.547436,Gangdong
