bank_1_Vf,bank_2_Vf,bank_3_Vf,bank_4_Vf
5.13001,5.388074,5.16911,5.614858
5.13001,5.395895,5.16129,5.607038
5.13783,5.427175,5.15347,5.630498
5.12219,5.388074,5.184751,5.599218
5.090909,5.364614,5.106549,5.583578
5.114369,5.395895,5.14565,5.614858
5.075269,5.356794,5.114369,5.575758
5.098729,5.380254,5.14565,5.591398
5.114369,5.395895,5.13783,5.591398
5.090909,5.356794,5.13001,5.575758
5.043988,5.356794,5.098729,5.575758
0.0,0.0,0.0,0.0
5.16911,5.442815,5.192571,5.638319
5.090909,5.364614,5.106549,5.607038
5.098729,5.388074,5.13001,5.607038
5.114369,5.395895,5.15347,5.591398
5.12219,5.372434,5.14565,5.599218
5.106549,5.372434,5.13001,5.599218
5.114369,5.380254,5.14565,5.614858
5.13783,5.395895,5.16911,5.622678
5.090909,5.388074,5.13783,5.607038
5.15347,5.395895,5.17693,5.614858
5.13783,5.395895,5.16129,5.614858
5.114369,5.411535,5.15347,5.614858
5.13001,5.419355,5.15347,5.622678
5.067449,5.348974,5.098729,5.552297
5.15347,5.411535,5.192571,5.638319
5.192571,5.474096,5.223851,5.669599
5.15347,5.395895,5.17693,5.622678
5.083089,5.325513,5.106549,5.575758
-1.0,-2.0,-3.0,-3.0
5.090909,5.388074,5.13001,5.599218
5.13001,5.388074,5.16911,5.607038
5.106549,5.372434,5.14565,5.583578
5.14565,5.411535,5.192571,5.630498
5.059628,5.348974,5.106549,5.552297
5.15347,5.395895,5.16911,5.607038
5.13783,5.395895,5.15347,5.591398
5.12219,5.403715,5.14565,5.622678
5.12219,5.403715,5.16129,5.622678
5.098729,5.388074,5.13001,5.591398
5.12219,5.380254,5.13783,5.614858
5.13001,5.403715,5.16129,5.591398
5.098729,5.372434,5.14565,5.575758
5.12219,5.411535,5.15347,5.607038
5.192571,5.442815,5.216031,5.661779
5.14565,5.411535,5.184751,5.638319
5.090909,5.364614,5.12219,5.560117
5.083089,5.372434,5.12219,5.575758
5.14565,5.411535,5.184751,5.607038
5.083089,5.372434,5.12219,5.599218
5.083089,5.356794,5.106549,5.583578
4.9008383653846135,5.143883153846152,4.893506923076921,5.33068273076923
5.043988 0.0 5.192571 -1.0 5.192571 0.0 5.474096 5.325513 -2.0 5.098729 0.0 5.098729 5.223851 -3.0 0.0 5.552297 5.669599 -3.0 5.552297
